id,idemis_code,iddistrict,idcouncil,chiefdomname
177,4106,14,18,"BUMPE NGAO"
178,2209,16,20,MORIFINDUGU
179,4116,14,18,WONDE
180,2213,16,20,"WOLLAY BARAWA"
181,2212,16,20,SULIMA
182,2409,1,2,"KUNIKE FOLAWUSU"
183,3206,4,6,ROMENDE
184,2207,16,20,"KULOR SARADU"
185,2210,16,20,NEYA
186,1102,6,7,JAHN
187,4110,14,18,KOMBOYA
188,4205,7,8,JONG
189,1201,8,13,DAMA
190,2203,16,20,"DEMBELIA SINKUNIA"
191,4113,14,18,SELENGA
192,4404,12,15,KPAKA
193,1207,8,13,LANGRAMA
194,2211,16,20,NYEDU
195,3107,11,14,MASUNGBALA
196,3104,11,1,KHONIMAKA
197,2206,16,20,KEBELIA
198,2204,16,20,"FOLOSABA KAMBA"
199,1314,3,5,TOLI
200,1202,8,13,DODO
201,2304,13,16,KAMUKEH
202,4107,14,18,GBO
203,1213,8,13,SIMBARU
204,4203,7,8,DEMA
205,4209,7,8,SITTIA
206,4201,7,8,BENDU-CHA
207,3306,15,19,KOYA
300,3203,4,6,GBANTI
